"","beer1","beer2","V1"
"1","90 Minute IPA","India Pale Ale",0.130990443021671
"2","90 Minute IPA","Old Rasputin Russian Imperial Stout",0.193036508360517
"3","90 Minute IPA","Sierra Nevada Celebration Ale",0.172100865521249
"4","90 Minute IPA","Stone Ruination IPA",0.172170899674197
"5","90 Minute IPA","Arrogant Bastard Ale",0.187052802452931
"6","90 Minute IPA","Two Hearted Ale",0.0868647390078147
"7","90 Minute IPA","Stone IPA (India Pale Ale)",0.199535256117677
"8","90 Minute IPA","Sierra Nevada Pale Ale",0.104681567941497
"9","90 Minute IPA","La Fin Du Monde",0.14837310432479
"10","90 Minute IPA","Pale Ale",0.0617865545850394
"11","90 Minute IPA","Duvel",0.123332309990912
"12","90 Minute IPA","Founders Breakfast Stout",0.161010341154422
"13","90 Minute IPA","Sierra Nevada Bigfoot Barleywine Style Ale",0.170546257806917
"14","90 Minute IPA","Pliny The Elder",0.174064922631494
"15","90 Minute IPA","60 Minute IPA",0.28235968885167
"16","90 Minute IPA","Brooklyn Black Chocolate Stout",0.129356360550681
"17","90 Minute IPA","Storm King Stout",0.186592809394886
"18","90 Minute IPA","Samuel Adams Boston Lager",0.0920548196921366
"19","90 Minute IPA","Bell's Hopslam Ale",0.158473092012424
"20","90 Minute IPA","Stone Imperial Russian Stout",0.173330427356532
"21","90 Minute IPA","Chocolate Stout",0.15556981762889
"22","90 Minute IPA","Imperial Stout",0.166070172562301
"23","90 Minute IPA","HopDevil Ale",0.194034759501657
"24","90 Minute IPA","Dead Guy Ale",0.159619975352943
"25","90 Minute IPA","St. Bernardus Abt 12",0.173511925207107
"26","90 Minute IPA","Trappistes Rochefort 10",0.206342637626094
"27","90 Minute IPA","Young's Double Chocolate Stout",0.131134718536661
"28","90 Minute IPA","Ayinger Celebrator Doppelbock",0.171195698838327
"29","90 Minute IPA","Samuel Smith's Oatmeal Stout",0.0807176972246282
"30","90 Minute IPA","Chimay Grande Réserve (Blue)",0.157673895184146
"31","90 Minute IPA","Sierra Nevada Torpedo Extra IPA",0.166321838160396
"32","90 Minute IPA","Guinness Draught",0.000875324339492037
"33","90 Minute IPA","Weihenstephaner Hefeweissbier",0.0924944959770287
"34","90 Minute IPA","Racer 5 India Pale Ale",0.183222572859586
"35","90 Minute IPA","Orval Trappist Ale",0.0420739922232171
"36","90 Minute IPA","Tröegs Nugget Nectar",0.196319919613943
"37","90 Minute IPA","Hop Rod Rye",0.206887859430677
"38","90 Minute IPA","Founders KBS (Kentucky Breakfast Stout)",0.180510281470358
"39","90 Minute IPA","Schneider Aventinus",0.174636986202237
"40","90 Minute IPA","Samuel Adams Octoberfest",0.0586960397306256
"41","90 Minute IPA","Hennepin (Farmhouse Saison)",0.134816443987764
"42","90 Minute IPA","Prima Pils",0.10020061607832
"43","90 Minute IPA","Punkin Ale",0.164344055517634
"44","90 Minute IPA","Double Bastard Ale",0.197261737446243
"45","90 Minute IPA","Samuel Adams Winter Lager",0.108791446490483
"46","90 Minute IPA","Hop Wallop",0.156948614656707
"47","90 Minute IPA","Oatmeal Stout",0.077971295367934
"48","90 Minute IPA","Anchor Steam Beer",0.112747791644595
"49","90 Minute IPA","120 Minute IPA",0.257026399070711
"50","India Pale Ale","90 Minute IPA",0.130990443021671
"51","India Pale Ale","Old Rasputin Russian Imperial Stout",0.0748896385286789
"52","India Pale Ale","Sierra Nevada Celebration Ale",0.12067704867333
"53","India Pale Ale","Stone Ruination IPA",0.0520002531922703
"54","India Pale Ale","Arrogant Bastard Ale",0.0552033182086013
"55","India Pale Ale","Two Hearted Ale",0.102722322795361
"56","India Pale Ale","Stone IPA (India Pale Ale)",0.107517150393368
"57","India Pale Ale","Sierra Nevada Pale Ale",0.056439430535501
"58","India Pale Ale","La Fin Du Monde",0.0458139206478497
"59","India Pale Ale","Pale Ale",0.102095902982197
"60","India Pale Ale","Duvel",0.0611916557583524
